, 4092, 10
0, 7066, 2
0, 7162, 18
0, 7068, 12
0, 7180, 2
0, 7080, 10
1, 122094, 512
0, 7090, 20
0, 7182, 2
0, 7110, 30
0, 7184, 2
0, 7140, 22
0, 7186, 2
0, 7250, 18
0, 7188, 24
0, 7268, 2
0, 7212, 12
1, 122606, 470
0, 123076, 1
1, 123076, 1
0, 7224, 6
0, 7270, 2
0, 7230, 16
0, 7272, 2
0, 7246, 4
0, 7324, 18
0, 7274, 8
0, 7342, 2
0, 7282, 16
0, 7344, 2
0, 7298, 20
0, 7346, 2
0, 7318, 6
0, 7396, 18
0, 7348, 2
1, 123076, 260
0, 7350, 6
1, 123336, 170
0, 7356, 4
0, 7414, 2
0, 7360, 22
0, 7416, 2
0, 7382, 14
0, 7418, 2
0, 7486, 18
0, 7420, 8
0, 7504, 2
0, 7428, 26
0, 7506, 2
0, 7454, 16
0, 7508, 2
0, 7470, 14
1, 123504, 32
0, 7484, 2
1, 123536, 405
0, 7568, 18
0, 7510, 8
0, 7586, 2
0, 7518, 20
0, 7588, 2
0, 7538, 22
0, 7590, 2
0, 7560, 8
0, 7592, 2
0, 7680, 18
0, 7594, 2
0, 7698, 2
0, 7596, 16
0, 7700, 2
0, 7612, 44
1, 123940, 466
0, 7702, 2
0, 7656, 22
0, 7704, 2
0, 7678, 2
0, 7764, 18
0, 7706, 22
0, 7782, 2
0, 7728, 20
0, 7784, 2
0, 7748, 16
0, 7786, 2
0, 7838, 18
1, 124404, 32
0, 7788, 4
1, 124436, 480
0, 7792, 8
0, 7856, 2
0, 7800, 20
0, 7858, 2
0, 7820, 16
0, 7860, 2
0, 7836, 2
0, 7916, 18
0, 7862, 12
0, 7934, 2
0, 7874, 18
0, 7936, 2
0, 7892, 12
1, 124916, 512
0, 7904, 8
0, 7938, 2
0, 7912, 4
0, 7940, 2
0, 8010, 18
0, 7942, 18
0, 8028, 2
0, 7960, 18
0, 8030, 2
0, 7978, 32
0, 8032, 4
1, 125428, 512
0, 8068, 18
0, 8036, 10
0, 8086, 2
0, 8046, 14
0, 8088, 2
0, 8060, 8
0, 8090, 2
0, 8150, 18
0, 8092, 10
0, 8168, 2
0, 8102, 18
0, 8170, 2
0, 8120, 10
1, 125940, 512
0, 8130, 10
0, 8172, 2
0, 8140, 10
0, 8228, 18
0, 8174, 6
0, 8246, 2
0, 8180, 18
0, 8248, 2
0, 8198, 18
0, 8250, 2
0, 8216, 12
1, 126452, 468
0, 8284, 18
0, 8252, 20
0, 8302, 2
0, 8272, 12
0, 8304, 2
0, 8374, 18
0, 8306, 6
0, 8392, 2
0, 8312, 34
0, 8394, 2
0, 8346, 14
0, 8396, 2
0, 8360, 14
1, 126920, 512
0, 8456, 18
0, 8398, 8
0, 8474, 2
0, 8406, 20
0, 8476, 2
1, 127432, 313
0, 127745, 1
1, 127745, 1
0, 8426, 18
0, 8478, 2
0, 8444, 12
0, 8480, 2
0, 8540, 18
0, 8482, 18
0, 8558, 2
0, 8500, 18
0, 8560, 2
0, 8518, 20
0, 8562, 2
0, 8538, 2
0, 8616, 18
0, 8564, 2
0, 8634, 2
0, 8566, 18
1, 127744, 512
0, 8636, 2
0, 8584, 18
0, 8638, 2
0, 8602, 14
0, 8714, 18
0, 8640, 14
0, 8732, 2
0, 8654, 14
0, 8734, 2
0, 8668, 24
0, 8736, 2
0, 8692, 18
1, 128256, 512
0, 8738, 2
0, 8710, 4
0, 8770, 18
0, 8740, 8
0, 8788, 2
0, 8748, 12
0, 8790, 2
0, 8760, 10
0, 8792, 2
0, 8842, 18
0, 8794, 12
0, 8860, 2
0, 8806, 16
0, 8862, 2
0, 8822, 12
0, 8864, 2
0, 8834, 8
1, 128768, 512
0, 8890, 18
0, 8866, 6
0, 8908, 2
0, 8872, 12
0, 8910, 2
0, 8884, 6
0, 8912, 2
0, 8952, 18
0, 8914, 4
0, 8970, 2
0, 8918, 12
0, 8972, 2
0, 8930, 8
0, 8974, 2
0, 8938, 4
1, 129280, 200
0, 8942, 2
1, 129480, 312
0, 8944, 8
0, 9018, 18
0, 8976, 4
0, 9036, 2
0, 8980, 20
0, 9038, 2
0, 9000, 16
0, 9040, 2
0, 9016, 2
0, 9042, 2
0, 9090, 18
0, 9044, 4
0, 9108, 2
0, 9048, 16
0, 9110, 2
0, 9064, 12
1, 129792, 512
0, 9076, 6
0, 9112, 2
0, 9082, 8
0, 9114, 2
0, 9158, 18
0, 9116, 6
0, 9176, 2
0, 9122, 18
0, 9178, 2
0, 9140, 18
0, 9180, 2
0, 9242, 18
0, 9182, 12
0, 9260, 2
0, 9194, 4
1, 130304, 512
0, 9198, 10
0, 9262, 2
0, 9208, 14
0, 9264, 2
0, 9222, 20
0, 9266, 2
0, 9298, 20
0, 9268, 16
0, 9318, 2
0, 9284, 14
0, 9320, 2
1, 130816, 511
0, 9322, 2
0, 9356, 18
0, 9324, 8
0, 9374, 2
0, 9332, 16
0, 9376, 2
0, 9348, 8
0, 9378, 2
0, 9436, 18
0, 9380, 4
0, 9454, 2
0, 9384, 12
0, 9456, 2
0, 9396, 12
0, 9458, 2
0, 9408, 10
1, 131326, 202
0, 9418, 12
1, 131528, 234
0, 9430, 6
0, 9460, 2
0, 9518, 18
0, 9462, 8
0, 9536, 2
0, 9470, 6
1, 131760, 196
0, 131956, 1
1, 131956, 1
0, 9476, 18
0, 9538, 2
0, 9494, 18
0, 9540, 2
0, 9512, 6
0, 9590, 18
1, 131956, 200
0, 132156, 1
1, 132156, 1
0, 9542, 16
0, 9608, 2
0, 9558, 18
0, 9610, 2
0, 9576, 14
0, 9612, 2
1, 132156, 177
0, 132333, 1
1, 132333, 1
0, 9658, 18
0, 9614, 4
0, 9676, 2
0, 9618, 22
0, 9678, 2
0, 9640, 16
0, 9680, 2
0, 9656, 2
0, 9728, 18
0, 9682, 10
0, 9746, 2
0, 9692, 16
0, 9748, 2
0, 9708, 20
0, 9750, 2
0, 9802, 18
0, 9752, 6
1, 132332, 425
0, 132757, 1
1, 132757, 1
0, 9758, 6
0, 9820, 2
0, 9764, 8
0, 9822, 2
0, 9772, 22
0, 9824, 2
0, 9794, 8
0, 9892, 18
0, 9826, 2
0, 9910, 2
0, 9828, 24
0, 9912, 2
0, 9852, 28
0, 9914, 2
1, 132756, 339
0, 133095, 1
1, 133095, 1
0, 9880, 12
0, 9916, 2
0, 10000, 18
0, 9918, 20
0, 10018, 2
0, 9938, 48
0, 10020, 2
0, 9986, 14
0, 10022, 2
0, 10114, 18
0, 10024, 6
0, 10132, 2
0, 10030, 20
0, 10134, 2
1, 133094, 422
0, 133516, 1
1, 133516, 1
0, 10050, 30
0, 10136, 2
0, 10080, 34
0, 10138, 2
0, 10200, 18
0, 10140, 10
0, 10218, 2
0, 10150, 16
0, 10220, 2
0, 10166, 30
0, 10222, 2
0, 10196, 4
1, 133516, 402
0, 10292, 18
0, 10224, 30
0, 10310, 2
0, 10254, 20
0, 10312, 2
0, 10274, 18
0, 10314, 4
0, 10350, 18
0, 10318, 4
0, 10368, 2
0, 10322, 14
0, 10370, 2
1, 133916, 427
0, 134343, 1
1, 134343, 1
0, 10336, 12
0, 10372, 2
0, 10348, 2
0, 10374, 2
0, 10398, 18
0, 10376, 12
0, 10416, 2
0, 10388, 10
0, 10418, 4
0, 10424, 20
0, 10422, 2
0, 10444, 4
1, 134342, 276
0, 134618, 1
1, 134618, 1
0, 10454, 18
0, 10448, 4
0, 10472, 2
0, 10452, 2
0, 10474, 4
0, 10562, 18
0, 10478, 16
0, 10580, 2
0, 10494, 18
0, 10582, 2
0, 10512, 32
0, 10584, 2
0, 10544, 18
1, 134618, 338
0, 10690, 18
0, 10586, 4
0, 10708, 2
0, 10590, 36
0, 10710, 2
0, 10626, 38
0, 10712, 2
0, 10664, 26
0, 10714, 2
0, 10786, 18
0, 10716, 12
0, 10804, 2
0, 10728, 24
1, 134954, 158
0, 10752, 22
0, 10806, 2
0, 10774, 12
0, 10808, 4
0, 10840, 18
0, 10812, 14
0, 10858, 2
0, 10826, 10
0, 10860, 2
0, 10836, 4
0, 10934, 18
0, 10862, 10
0, 10952, 2
0, 10872, 44
0, 10954, 2
0, 10916, 4
1, 135112, 32
0, 10920, 8
1, 135144, 480
0, 10928, 6
0, 10956, 2
0, 10998, 18
0, 10958, 8
0, 11016, 2
0, 10966, 8
0, 11018, 2
0, 10974, 24
0, 11020, 2
0, 11052, 18
0, 11022, 2
0, 11070, 2
0, 11024, 8
0, 11072, 2
0, 11032, 10
1, 135624, 512
0, 11074, 2
0, 11042, 10
0, 11076, 2
0, 11264, 18
1, 136136, 512
0, 11078, 14
0, 11282, 2
0, 11092, 52
0, 11284, 2
0, 11144, 60
0, 11286, 2
0, 11204, 58
0, 11288, 2
0, 11262, 2
0, 11410, 18
1, 136648, 512
0, 11290, 16
0, 11428, 2
0, 11306, 14
0, 11430, 2
0, 11320, 32
0, 11432, 2
0, 11352, 52
0, 11434, 2
0, 11404, 6
0, 11560, 20
0, 11436, 34
1, 137160, 512
0, 11470, 2
0, 11580, 2
0, 11472, 48
0, 11582, 2
0, 11520, 2
1, 137672, 512
0, 11522, 26
0, 11584, 2
0, 11548, 12
0, 11708, 18
1, 138184, 245
0, 11726, 2
0, 11586, 28
0, 11728, 2
0, 11614, 46
0, 11730, 2
0, 11660, 26
1, 138428, 329
0, 138757, 1
1, 138757, 1
0, 11732, 2
0, 11686, 22
0, 11848, 18
0, 11734, 32
0, 11866, 2
0, 11766, 32
0, 11868, 2
0, 11798, 34
0, 11870, 2
0, 11832, 16
0, 11998, 18
0, 11872, 2
0, 12016, 2
0, 11874, 36
1, 138756, 512
0, 12018, 2
0, 11910, 44
0, 12020, 2
0, 11954, 28
0, 12022, 2
0, 11982, 16
0, 12142, 18
0, 12024, 14
0, 12160, 2
0, 12038, 28
1, 139268, 452
0, 12066, 10
1, 139720, 58
0, 12162, 2
0, 12076, 46
0, 12164, 2
0, 12122, 20
0, 12166, 2
0, 12284, 18
0, 12168, 2
0, 12302, 2
0, 12170, 26
0, 12304, 2
0, 12196, 34
1, 139776, 356
0, 140132, 1
1, 140132, 1
0, 12230, 6
0, 12306, 2
0, 12236, 48
0, 12308, 2
0, 12420, 18
0, 12310, 34
0, 12438, 2
0, 12344, 34
0, 12440, 2
0, 12378, 24
1, 140132, 381
0, 140513, 1
1, 140513, 1
0, 12442, 2
0, 12402, 18
0, 12530, 18
0, 12444, 26
0, 12548, 2
0, 12470, 30
0, 12550, 2
0, 12500, 30
0, 12552, 2
0, 12582, 18
0, 12554, 2
0, 12600, 2
0, 12556, 14
0, 12602, 2
1, 140512, 408
