0, 140, 974
1, 96392, 723
0, 97115, 1
1, 97115, 1
0, 1116, 946
0, 2064, 1
0, 2068, 682
0, 2752, 509
0, 3264, 502
0, 3768, 1114
0, 4884, 363
0, 5248, 139
0, 5388, 1782
0, 7172, 608
1, 97114, 512
0, 7780, 615
0, 8396, 544
1, 97626, 512
0, 8940, 64
1, 98138, 32
0, 9004, 64
1, 98170, 480
0, 9068, 512
1, 98650, 302
0, 9580, 64
1, 98952, 210
0, 9644, 128
1, 99162, 512
0, 9772, 384
1, 99674, 512
0, 10156, 64
1, 100186, 512
0, 10220, 576
1, 100698, 302
0, 10796, 64
1, 101000, 210
0, 10860, 64
1, 101210, 32
0, 10924, 55
1, 101242, 480
0, 10980, 544
1, 101722, 512
0, 11524, 64
1, 102234, 512
0, 11588, 576
1, 102746, 302
0, 12164, 64
1, 103048, 210
0, 12228, 64
1, 103258, 32
0, 12292, 96
1, 103290, 480
0, 12388, 448
1, 103770, 512
0, 12836, 1280
1, 104282, 302
0, 14116, 64
1, 104584, 32
0, 14180, 64
1, 104616, 480
0, 14244, 768
1, 105096, 512
0, 15012, 64
1, 105608, 512
0, 15076, 576
1, 106120, 512
0, 15652, 64
1, 106632, 512
0, 15716, 640
1, 107144, 512
0, 16356, 1280
1, 107656, 512
0, 17636, 128
1, 108168, 512
0, 17764, 512
1, 108680, 512
0, 18276, 64
1, 109192, 512
0, 18340, 640
1, 109704, 512
0, 18980, 711
0, 19692, 544
1, 110216, 544
0, 20236, 96
1, 110760, 480
0, 20332, 576
1, 111240, 512
0, 20908, 735
0, 21644, 416
1, 111752, 512
0, 22060, 64
1, 112264, 512
0, 22124, 640
1, 112776, 512
0, 22764, 1280
1, 113288, 512
0, 24044, 1344
1, 113800, 512
0, 25388, 1213
0, 26604, 224
1, 114312, 512
0, 26828, 105
0, 26936, 1060
1, 114824, 544
0, 27996, 96
1, 115368, 480
0, 28092, 576
1, 115848, 512
0, 28668, 1280
1, 116360, 512
0, 29948, 128
1, 116872, 512
0, 30076, 512
1, 117384, 512
0, 30588, 64
1, 117896, 512
0, 30652, 704
1, 118408, 512
0, 31356, 1216
1, 118920, 512
0, 32572, 64
1, 119432, 32
0, 32636, 64
1, 119464, 480
0, 32700, 576
1, 119944, 512
0, 33276, 128
1, 120456, 512
0, 33404, 512
1, 120968, 512
0, 33916, 64
1, 121480, 512
0, 33980, 640
1, 121992, 512
0, 34620, 1280
1, 122504, 512
0, 35900, 64
1, 123016, 32
0, 35964, 64
1, 123048, 480
0, 36028, 103
0, 36132, 1
0, 36136, 1
0, 36140, 3
0, 36144, 352
1, 123528, 512
0, 36496, 198
0, 36696, 1196
1, 124040, 512
0, 37892, 1408
1, 124552, 512
0, 39300, 997
0, 40300, 250
0, 40552, 96
1, 125064, 512
0, 40648, 1188
1, 125576, 512
0, 41836, 1152
1, 126088, 512
0, 42988, 1152
1, 126600, 544
0, 44140, 96
1, 127144, 480
0, 44236, 448
1, 127624, 512
0, 44684, 657
0, 45344, 480
1, 128136, 512
0, 45824, 20
1, 128648, 512
0, 45844, 50
0, 45896, 5
0, 45904, 110
0, 46016, 250
0, 46268, 25
0, 46296, 224
1, 129160, 512
0, 46520, 654
0, 47176, 106
0, 47284, 19
0, 47304, 477
1, 129672, 512
0, 47784, 1320
1, 130184, 512
0, 49104, 1216
1, 130696, 512
0, 50320, 64
1, 131208, 512
0, 50384, 576
1, 131720, 512
0, 50960, 64
1, 132232, 32
0, 51024, 64
1, 132264, 480
0, 51088, 576
1, 132744, 512
0, 51664, 1280
1, 133256, 512
0, 52944, 64
1, 133768, 512
0, 53008, 576
1, 134280, 512
0, 53584, 1312
1, 134792, 512
0, 54896, 64
1, 135304, 512
0, 54960, 576
1, 135816, 512
0, 55536, 128
1, 136328, 512
0, 55664, 512
1, 136840, 512
0, 56176, 64
1, 137352, 512
0, 56240, 640
1, 137864, 512
0, 56880, 1280
1, 138376, 512
0, 58160, 64
1, 138888, 32
0, 58224, 64
1, 138920, 480
0, 58288, 576
1, 139400, 512
0, 58864, 128
1, 139912, 32
0, 58992, 64
1, 139944, 480
0, 59056, 448
1, 140424, 512
0, 59504, 1280
1, 140936, 512
0, 60784, 64
1, 141448, 512
0, 60848, 251
0, 61100, 224
1, 141960, 512
0, 61324, 128
1, 142472, 512
0, 61452, 448
1, 142984, 512
0, 61900, 1152
1, 143496, 512
0, 63052, 64
1, 144008, 512
0, 63116, 576
1, 144520, 512
0, 63692, 1216
1, 145032, 512
0, 64908, 64
1, 145544, 32
0, 64972, 64
1, 145576, 480
0, 65036, 512
1, 146056, 512
0, 65548, 64
1, 146568, 32
0, 65612, 96
1, 146600, 480
0, 65708, 448
